Correlation Table - 50 periods
https://www.mataf.net
Fri, 16 Jan 2026 16:25:36 +0000
pair1,pair2,5min,15min,1h,4h,day,week
AUDUSD,EURCAD,9.5,-32.8,-67.7,-12.3,-77.6,0
AUDUSD,USDCHF,-55.8,-14.5,63.7,-70.9,-59.1,0
AUDUSD,USDCAD,-93.9,-89.7,6,-77.2,-83.9,0
CADJPY,EURUSD,35.6,3.6,21.5,-38.6,67.7,0
CADJPY,NZDUSD,70.9,27.7,-62.9,-28.9,69.2,0
CADJPY,GBPUSD,43.8,-20.8,13.5,-20.4,86,0
CADJPY,AUDUSD,81.7,70.6,-12,-38.1,85.5,0
CADJPY,CADJPY,100,100,100,100,100,0
CADJPY,NZDJPY,94.9,87.3,31.2,91.7,91.3,0
CADJPY,EURJPY,82.1,90.1,78.5,94,97,0
CADJPY,CHFJPY,73.2,79.3,63.7,90.9,86.4,0
CADJPY,GBPJPY,84,72.6,65.8,95.5,94.1,0
CADJPY,AUDJPY,95.2,92.9,50.9,91.6,91.7,0
CADJPY,CADCHF,71.1,86.1,13.2,20.8,64.1,0
CADJPY,NZDCHF,81.9,65.9,-41.3,20.4,42,0
CADJPY,GBPCHF,62.9,19.2,34.6,64.3,64.5,0
CADJPY,AUDCHF,92.8,85.4,-7,9.4,66.7,0
CADJPY,NZDCAD,19.8,-31.1,-77.1,2.8,-3.1,0
CADJPY,AUDCAD,73.9,60.9,-23,-8.9,42.3,0
CADJPY,EURCHF,82.1,77.8,50.4,36.5,11.2,0
CADJPY,AUDNZD,84.5,87.5,49.1,-15.9,48.3,0
CADJPY,GBPCAD,-34.7,-72.2,1.5,24.8,18.8,0
CADJPY,USDJPY,75.8,89.3,88.3,92.5,58.2,0
CADJPY,GBPNZD,-59.1,-71,46,16.3,19.3,0
CADJPY,GBPAUD,-90.8,-90,14.2,25.4,-49.6,0
CADJPY,EURAUD,-92.7,-81.3,18.4,7.2,-72.2,0
CADJPY,EURGBP,-14.1,39.6,9.6,-36.3,-75.4,0
CADJPY,EURNZD,-64.2,-38.8,55.8,-2.7,-51.8,0
CADJPY,EURCAD,-40.6,-72.4,7.1,-0.5,-85.8,0
CADJPY,USDCHF,-8.6,38,-1.8,41.3,-53.5,0
CADJPY,USDCAD,-81.2,-73.8,-27.7,39.1,-82.3,0
NZDJPY,EURUSD,52.4,31.3,-29.3,-30.9,67.6,0
NZDJPY,NZDUSD,84.9,66.8,38.6,-1.3,84.9,0
NZDJPY,GBPUSD,61.7,18.4,-29.6,-10.3,89.6,0
NZDJPY,AUDUSD,89.8,89,70.8,-16.1,91.5,0
NZDJPY,CADJPY,94.9,87.3,31.2,91.7,91.3,0
NZDJPY,NZDJPY,100,100,100,100,100,0
NZDJPY,EURJPY,91.1,88.2,0.4,88.3,89.4,0
NZDJPY,CHFJPY,81.9,79.2,-11.7,89.1,72.6,0
NZDJPY,GBPJPY,92.3,88.4,-5.6,92.1,92,0
NZDJPY,AUDJPY,98,95.9,77.8,95.7,92.4,0
NZDJPY,CADCHF,54.6,66.6,44,5.4,68.5,0
NZDJPY,NZDCHF,80.9,85,52.6,42.1,69.1,0
NZDJPY,GBPCHF,67.2,49.3,15.2,56.1,78,0
NZDJPY,AUDCHF,91.3,89.3,59.3,20.8,80.2,0
NZDJPY,NZDCAD,49.6,19.2,36.3,42.3,37.9,0
NZDJPY,AUDCAD,86.8,84.9,62.9,20.7,58.3,0
NZDJPY,EURCHF,89.1,72.5,39,18.6,27.8,0
NZDJPY,AUDNZD,82.4,76.3,41.6,-30.6,33,0
NZDJPY,GBPCAD,-11.2,-38,-34.2,37.3,34.7,0
NZDJPY,USDJPY,65.4,67.2,32.3,84.7,48.6,0
NZDJPY,GBPNZD,-53.8,-73.8,-44.9,-12.8,-7,0
NZDJPY,GBPAUD,-86.3,-84.1,-54.1,8.6,-58.9,0
NZDJPY,EURAUD,-88.2,-87.8,-57,-13.3,-80.9,0
NZDJPY,EURGBP,-13,9.6,20.5,-45.1,-82,0
NZDJPY,EURNZD,-58.6,-67.8,-44.8,-31.4,-79.5,0
NZDJPY,EURCAD,-17.2,-48.1,-36.9,5.7,-77,0
NZDJPY,USDCHF,-25,8.9,37.9,29.6,-45.3,0
NZDJPY,USDCAD,-83,-80.6,-3.1,35.1,-78.6,0
EURJPY,EURUSD,78.2,38.4,71.3,-23.8,63.5,0
EURJPY,NZDUSD,89.9,44.1,-62,-31.7,62.2,0
EURJPY,GBPUSD,82.5,6.6,65.9,-13.3,83.3,0
EURJPY,AUDUSD,93.6,75,-50.9,-40.1,81,0
EURJPY,CADJPY,82.1,90.1,78.5,94,97,0
EURJPY,NZDJPY,91.1,88.2,0.4,88.3,89.4,0
EURJPY,EURJPY,100,100,100,100,100,0
EURJPY,CHFJPY,96.9,93.4,95.5,97.5,91.6,0
EURJPY,GBPJPY,94.7,83.8,96.4,97.8,95.9,0
EURJPY,AUDJPY,92.2,88.9,4.2,88.4,91.4,0
EURJPY,CADCHF,20.5,59.2,-48.1,-8.6,50.5,0
EURJPY,NZDCHF,50.8,54.8,-81.6,-0.2,33.7,0
EURJPY,GBPCHF,49.4,19.1,44.4,50.2,61.4,0
EURJPY,AUDCHF,73.4,73.7,-58.6,-8.7,61.6,0
EURJPY,NZDCAD,57.2,-9.8,-76.6,7.8,-1.3,0
EURJPY,AUDCAD,91.4,66,-58.4,-2.3,46.6,0
EURJPY,EURCHF,81.2,75.7,15.8,36.2,5.2,0
EURJPY,AUDNZD,83.7,77.3,3.9,-14.1,51.5,0
EURJPY,GBPCAD,15.7,-46.7,60.6,49.9,31.7,0
EURJPY,USDJPY,41.5,74.1,65,91,66.1,0
EURJPY,GBPNZD,-26.2,-56.9,86,30.7,28.8,0
EURJPY,GBPAUD,-72.2,-76.7,66.1,37.3,-42.7,0
EURJPY,EURAUD,-67.6,-67.5,67.8,26.2,-68.8,0
EURJPY,EURGBP,6.3,38.4,-32.6,-20.5,-75.3,0
EURJPY,EURNZD,-20,-25.2,89.2,16.8,-43.9,0
EURJPY,EURCAD,18.7,-35.3,67.3,33.8,-70.8,0
EURJPY,USDCHF,-57.8,3.7,-55.3,29.9,-52.8,0
EURJPY,USDCAD,-85.3,-76.1,-27.9,46.7,-73.1,0
CHFJPY,EURUSD,80.4,40.8,80.5,-10.7,59.2,0
CHFJPY,NZDUSD,83.6,40.6,-54.4,-16,46.9,0
CHFJPY,GBPUSD,82,17.3,77,2,74,0
CHFJPY,AUDUSD,86.2,64.5,-63.2,-28.4,70.8,0
CHFJPY,CADJPY,73.2,79.3,63.7,90.9,86.4,0
CHFJPY,NZDJPY,81.9,79.2,-11.7,89.1,72.6,0
CHFJPY,EURJPY,96.9,93.4,95.5,97.5,91.6,0
CHFJPY,CHFJPY,100,100,100,100,100,0
CHFJPY,GBPJPY,89.1,85.4,95.9,97.5,85.7,0
CHFJPY,AUDJPY,83.2,77.4,-16.6,86.3,80.6,0
CHFJPY,CADCHF,4.1,37.5,-68,-21.8,16.9,0
CHFJPY,NZDCHF,32.7,35.1,-90.6,-3.6,0.4,0
CHFJPY,GBPCHF,33.6,12.4,29.6,39.3,31.9,0
CHFJPY,AUDCHF,58.3,55.5,-75.3,-17.6,37.1,0
CHFJPY,NZDCAD,53.4,-5.5,-70,16.9,-18.5,0
CHFJPY,AUDCAD,83.6,56.2,-70,-0.4,39.6,0
CHFJPY,EURCHF,64.4,47.6,-14,14.3,-35.3,0
CHFJPY,AUDNZD,76.1,63.9,-17.6,-23.9,57.7,0
CHFJPY,GBPCAD,22.6,-29.4,72.6,57.6,28.8,0
CHFJPY,USDJPY,33.5,65.6,48.7,83.4,59.5,0
CHFJPY,GBPNZD,-14.7,-36.6,90.3,27.9,43.2,0
CHFJPY,GBPAUD,-60.6,-58.6,79.2,41.1,-34.2,0
CHFJPY,EURAUD,-53.8,-54,80,25.3,-57.3,0
CHFJPY,EURGBP,13.5,23.6,-44.7,-30.2,-63.6,0
CHFJPY,EURNZD,-4.5,-16.9,90.7,10,-21.4,0
CHFJPY,EURCAD,29,-22.5,77.9,34.8,-57.5,0
CHFJPY,USDCHF,-67,-14,-73.1,12.7,-69.1,0
CHFJPY,USDCAD,-79.1,-66.3,-29.8,33.8,-64.5,0
GBPJPY,EURUSD,62.7,44.2,78.4,-20.1,56.3,0
GBPJPY,NZDUSD,81.5,65.2,-53.7,-19.3,64,0
GBPJPY,GBPUSD,78.3,45,79.2,-2.5,87.3,0
GBPJPY,AUDUSD,88.3,81.3,-55.3,-30.7,87.6,0
GBPJPY,CADJPY,84,72.6,65.8,95.5,94.1,0
GBPJPY,NZDJPY,92.3,88.4,-5.6,92.1,92,0
GBPJPY,EURJPY,94.7,83.8,96.4,97.8,95.9,0
GBPJPY,CHFJPY,89.1,85.4,95.9,97.5,85.7,0
GBPJPY,GBPJPY,100,100,100,100,100,0
GBPJPY,AUDJPY,92.9,83.7,-8,90.2,97.4,0
GBPJPY,CADCHF,31.2,39.2,-60.8,-5.2,53.6,0
GBPJPY,NZDCHF,60.8,61.7,-84.4,8,43.6,0
GBPJPY,GBPCHF,72.6,62.2,55.4,58.6,76.2,0
GBPJPY,AUDCHF,79.5,70.6,-67,-5.5,76.2,0
GBPJPY,NZDCAD,56,26.2,-67.9,13.9,11.9,0
GBPJPY,AUDCAD,90.8,79.3,-61.9,-1.7,65.1,0
GBPJPY,EURCHF,83.2,50,2.4,26.1,10.3,0
GBPJPY,AUDNZD,83.4,65.1,-9.5,-21.6,61.1,0
GBPJPY,GBPCAD,21.7,-5,76.3,52.3,51,0
GBPJPY,USDJPY,55.7,53.3,52.2,87.7,67.9,0
GBPJPY,GBPNZD,-17.3,-33.8,91.7,26.7,32.7,0
GBPJPY,GBPAUD,-67.2,-58.3,76.6,38.5,-52.3,0
GBPJPY,EURAUD,-74.8,-71.7,74.3,18,-83.4,0
GBPJPY,EURGBP,-26.2,-18.1,-56.5,-40.3,-90.8,0
GBPJPY,EURNZD,-33.3,-50.9,88.7,4.4,-54.5,0
GBPJPY,EURCAD,7.3,-23.3,76.8,23.1,-70.8,0
GBPJPY,USDCHF,-39.2,-15.5,-65.7,23.7,-44,0
GBPJPY,USDCAD,-75.4,-70.9,-26.6,35.7,-68.3,0
AUDJPY,EURUSD,55.6,23,-51.5,-35.3,52.1,0
AUDJPY,NZDUSD,84.4,54.5,-6.5,-11.7,65.5,0
AUDJPY,GBPUSD,64.6,6.5,-53.6,-17.8,85,0
AUDJPY,AUDUSD,93.7,90.3,73.4,-13.1,91.7,0
AUDJPY,CADJPY,95.2,92.9,50.9,91.6,91.7,0
AUDJPY,NZDJPY,98,95.9,77.8,95.7,92.4,0
AUDJPY,EURJPY,92.2,88.9,4.2,88.4,91.4,0
AUDJPY,CHFJPY,83.2,77.4,-16.6,86.3,80.6,0
AUDJPY,GBPJPY,92.9,83.7,-8,90.2,97.4,0
AUDJPY,AUDJPY,100,100,100,100,100,0
AUDJPY,CADCHF,53.7,76.9,69.5,11.5,56.7,0
AUDJPY,NZDCHF,76.3,80.6,47.7,38.3,49.5,0
AUDJPY,GBPCHF,66.3,43.1,22,58.5,77.8,0
AUDJPY,AUDCHF,93.6,95.7,77.4,34.4,84.8,0
AUDJPY,NZDCAD,42.7,-0,1.8,32.1,18.3,0
AUDJPY,AUDCAD,91,86,72,31.9,75,0
AUDJPY,EURCHF,89.9,78.2,69.8,30.8,12.4,0
AUDJPY,AUDNZD,92.1,91.5,89.3,-1.8,66.6,0
AUDJPY,GBPCAD,-10.9,-50.6,-54.3,31.7,49.5,0
AUDJPY,USDJPY,62.3,73.9,61.8,86.6,66.1,0
AUDJPY,GBPNZD,-47.6,-72.2,-37.9,-7.1,25.1,0
AUDJPY,GBPAUD,-89.9,-93.2,-70.2,-5.1,-70.3,0
AUDJPY,EURAUD,-90.8,-93.8,-70.5,-21.9,-92.3,0
AUDJPY,EURGBP,-11,18.9,41.5,-35.4,-91.4,0
AUDJPY,EURNZD,-51.5,-58.2,-31.3,-22.2,-61.4,0
AUDJPY,EURCAD,-16,-58.8,-53.9,6.7,-73.5,0
AUDJPY,USDCHF,-28.5,19.9,66.7,37,-39.4,0
AUDJPY,USDCAD,-86.2,-82,18.3,40.3,-66.6,0
CADCHF,EURUSD,-30.6,-28.7,-83.1,-65.8,42.4,0
CADCHF,NZDUSD,17.9,7.9,9.5,-30.9,64.3,0
CADCHF,GBPUSD,-20.1,-46.4,-86.3,-53.2,55.7,0
CADCHF,AUDUSD,30.9,53.6,69.4,-23.7,59.8,0
CADCHF,CADJPY,71.1,86.1,13.2,20.8,64.1,0
CADCHF,NZDJPY,54.6,66.6,44,5.4,68.5,0
CADCHF,EURJPY,20.5,59.2,-48.1,-8.6,50.5,0
CADCHF,CHFJPY,4.1,37.5,-68,-21.8,16.9,0
CADCHF,GBPJPY,31.2,39.2,-60.8,-5.2,53.6,0
CADCHF,AUDJPY,53.7,76.9,69.5,11.5,56.7,0
CADCHF,CADCHF,100,100,100,100,100,0
CADCHF,NZDCHF,86.3,70.5,76.9,55.8,81.9,0
CADCHF,GBPCHF,57.7,18.5,-5.1,58.3,77.7,0
CADCHF,AUDCHF,75.9,83.8,90,63,74.2,0
CADCHF,NZDCAD,-26,-43.3,16.2,-33.6,22.4,0
CADCHF,AUDCAD,22.2,45.8,67.8,-20.4,22.5,0
CADCHF,EURCHF,54.1,78.7,66.1,52.2,75.7,0
CADCHF,AUDNZD,45.3,80.3,69.4,18.8,6.5,0
CADCHF,GBPCAD,-74,-85.7,-92,-77,-7.2,0
CADCHF,USDJPY,76.4,81.3,21.5,21.2,23.3,0
CADCHF,GBPNZD,-71.3,-77.2,-72.2,-26.7,-28.3,0
CADCHF,GBPAUD,-70.4,-88.3,-88.1,-36.5,-45.1,0
CADCHF,EURAUD,-80.3,-78.8,-85.2,-41.8,-54.3,0
CADCHF,EURGBP,-34.8,40.8,66.9,-13.7,-50.8,0
CADCHF,EURNZD,-89.4,-44.4,-63.2,-29,-69.1,0
CADCHF,EURCAD,-89.3,-91.6,-93.3,-82.5,-80.4,0
CADCHF,USDCHF,56.4,69.5,92.3,67.6,0.4,0
CADCHF,USDCAD,-37.6,-57.1,12.1,12.8,-62.9,0
NZDCHF,EURUSD,3.3,12.5,-81.5,-47.2,36.1,0
NZDCHF,NZDUSD,53.8,67,62.9,28.6,74.2,0
NZDCHF,GBPUSD,17.2,12.7,-78.5,-27.3,52.5,0
NZDCHF,AUDUSD,59.5,81,84.5,20.9,58.7,0
NZDCHF,CADJPY,81.9,65.9,-41.3,20.4,42,0
NZDCHF,NZDJPY,80.9,85,52.6,42.1,69.1,0
NZDCHF,EURJPY,50.8,54.8,-81.6,-0.2,33.7,0
NZDCHF,CHFJPY,32.7,35.1,-90.6,-3.6,0.4,0
NZDCHF,GBPJPY,60.8,61.7,-84.4,8,43.6,0
NZDCHF,AUDJPY,76.3,80.6,47.7,38.3,49.5,0
NZDCHF,CADCHF,86.3,70.5,76.9,55.8,81.9,0
NZDCHF,NZDCHF,100,100,100,100,100,0
NZDCHF,GBPCHF,76.3,64.6,-18.6,45.3,79.9,0
NZDCHF,AUDCHF,90.9,89.5,90,81.2,77.7,0
NZDCHF,NZDCAD,26,33.2,75.5,59.4,74.3,0
NZDCHF,AUDCAD,57.1,81.7,87.1,46.6,43,0
NZDCHF,EURCHF,80.5,70.5,28.6,12.9,77.4,0
NZDCHF,AUDNZD,58,62.7,33.3,-19.5,-12.6,0
NZDCHF,GBPCAD,-42.2,-33.7,-76.6,-33,20,0
NZDCHF,USDJPY,74.2,46.8,-27.8,20.1,8,0
NZDCHF,GBPNZD,-73.7,-81.7,-96.4,-83.9,-55.6,0
NZDCHF,GBPAUD,-80.4,-78.9,-91,-63.4,-49.6,0
NZDCHF,EURAUD,-90.6,-88.4,-93,-79.7,-57.5,0
NZDCHF,EURGBP,-35.7,-5.1,46.7,-38.6,-52.5,0
NZDCHF,EURNZD,-92.3,-89,-96.7,-88.9,-93.1,0
NZDCHF,EURCAD,-59,-55,-82.4,-56.8,-51.7,0
NZDCHF,USDCHF,27.9,26.3,78.8,40.5,6.7,0
NZDCHF,USDCAD,-55.7,-66.8,24.6,10.4,-46.7,0
GBPCHF,EURUSD,8.3,22.5,27.3,-44.8,29.3,0
GBPCHF,NZDUSD,42.4,63,-22,-23.4,59,0
GBPCHF,GBPUSD,38.6,59.7,40.6,-18.6,67.7,0
GBPCHF,AUDUSD,52.1,57.7,-1.2,-25.4,72.2,0
GBPCHF,CADJPY,62.9,19.2,34.6,64.3,64.5,0
GBPCHF,NZDJPY,67.2,49.3,15.2,56.1,78,0
GBPCHF,EURJPY,49.4,19.1,44.4,50.2,61.4,0
GBPCHF,CHFJPY,33.6,12.4,29.6,39.3,31.9,0
GBPCHF,GBPJPY,72.6,62.2,55.4,58.6,76.2,0
GBPCHF,AUDJPY,66.3,43.1,22,58.5,77.8,0
GBPCHF,CADCHF,57.7,18.5,-5.1,58.3,77.7,0
GBPCHF,NZDCHF,76.3,64.6,-18.6,45.3,79.9,0
GBPCHF,GBPCHF,100,100,100,100,100,0
GBPCHF,AUDCHF,76.1,50.7,-4.3,41,93.6,0
GBPCHF,NZDCAD,36.1,58.1,-23.4,-5.2,45.1,0
GBPCHF,AUDCAD,61.5,66.1,-2.8,-6.2,69.7,0
GBPCHF,EURCHF,74.4,23.3,49.4,57.5,63.5,0
GBPCHF,AUDNZD,56.9,27.7,19.9,-1.5,39.6,0
GBPCHF,GBPCAD,12.1,34.7,43.9,6.9,57.2,0
GBPCHF,USDJPY,64.5,3,33.4,59.7,49.9,0
GBPCHF,GBPNZD,-12.7,-9,43.8,10.4,5.6,0
GBPCHF,GBPAUD,-46.7,-22.7,25.5,10.5,-53.2,0
GBPCHF,EURAUD,-73,-55.3,15.3,-16.2,-81.3,0
GBPCHF,EURGBP,-75.8,-70.4,-59.2,-55.8,-87,0
GBPCHF,EURNZD,-62.2,-71.7,32.8,-16.5,-73.5,0
GBPCHF,EURCAD,-28.1,-11,30.1,-30.3,-58.3,0
GBPCHF,USDCHF,19.9,-8.3,-6.5,53.1,5.8,0
GBPCHF,USDCAD,-36.1,-35.4,-1.6,26,-44.8,0
AUDCHF,EURUSD,30.4,11.1,-86.1,-49.3,29.1,0
AUDCHF,NZDUSD,70.4,52.5,30.6,6.3,61.2,0
AUDCHF,GBPUSD,42.8,0.2,-85.2,-39.1,67.4,0
AUDCHF,AUDUSD,82.5,88.7,89.5,26.6,80.8,0
AUDCHF,CADJPY,92.8,85.4,-7,9.4,66.7,0
AUDCHF,NZDJPY,91.3,89.3,59.3,20.8,80.2,0
AUDCHF,EURJPY,73.4,73.7,-58.6,-8.7,61.6,0
AUDCHF,CHFJPY,58.3,55.5,-75.3,-17.6,37.1,0
AUDCHF,GBPJPY,79.5,70.6,-67,-5.5,76.2,0
AUDCHF,AUDJPY,93.6,95.7,77.4,34.4,84.8,0
AUDCHF,CADCHF,75.9,83.8,90,63,74.2,0
AUDCHF,NZDCHF,90.9,89.5,90,81.2,77.7,0
AUDCHF,GBPCHF,76.1,50.7,-4.3,41,93.6,0
AUDCHF,AUDCHF,100,100,100,100,100,0
AUDCHF,NZDCAD,28.6,2.1,46.1,31.1,45.3,0
AUDCHF,AUDCAD,80.3,86.9,93,63.2,82,0
AUDCHF,EURCHF,90.7,80.7,55.6,34,51.3,0
AUDCHF,AUDNZD,86.7,90.8,70.9,41.4,52.7,0
AUDCHF,GBPCAD,-29.8,-53.1,-82.9,-45.1,51.5,0
AUDCHF,USDJPY,69.8,67.1,9.9,14.2,50.3,0
AUDCHF,GBPNZD,-59.6,-77.7,-83.3,-65.5,0.4,0
AUDCHF,GBPAUD,-92.9,-95.4,-97.7,-86.4,-79.6,0
AUDCHF,EURAUD,-98.9,-98.2,-98.4,-89.4,-93.6,0
AUDCHF,EURGBP,-25.4,14.1,56.4,-12.1,-86.5,0
